"...1","V1.x","area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg","State","V1.y","value"
49,49,54000,5,10,51,0,2010,"A",NA,"West Virginia -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",44384,549769,20336721275,6346065728,188043289,711,36991,NA,0.95,0.96,0.94,1.01,1,0.99,0.99,NA,-36,-0.1,-2446,-0.4,438966416,2.2,197215898,3.2,20931956,12.5,18,2.6,958,2.7,"West Virginia",49,7.25
50,50,55000,5,10,51,0,2010,"A",NA,"Wisconsin -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",148043,2246531,88863403639,24297701105,870928875,761,39556,NA,0.98,1.03,1.02,1.01,1,1,1,NA,-1263,-0.8,-11229,-0.5,1654477679,1.9,49224988,0.2,240226061,38.1,18,2.4,930,2.4,"Wisconsin",50,7.25
51,51,56000,5,10,51,0,2010,"A",NA,"Wyoming -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",23434,205226,8467207344,4150160725,98069980,793,41258,NA,0.97,0.91,0.9,1,0.98,0.99,0.99,NA,-69,-0.3,-4503,-2.1,122829449,1.5,143153093,3.6,49250739,100.9,28,3.7,1472,3.7,"Wyoming",51,7.25
52,52,72000,5,10,51,0,2010,"A",NA,"Puerto Rico -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",47347,665148,16504571418,4937707357,160783153,477,24813,NA,0.99,0.86,0.81,1.01,1,0.94,0.94,NA,-2232,-4.5,-12458,-1.8,-107450458,-0.6,-40358351,-0.8,5864916,3.8,6,1.3,297,1.2,"Puerto Rico",52,7.25
53,53,78000,5,10,51,0,2010,"A",NA,"Virgin Islands -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",3475,31254,1107506620,620329783,1445934,681,35435,NA,0.99,0.85,0.78,1.02,1.01,0.92,0.92,NA,27,0.8,563,1.8,53267302,5.1,33766043,5.8,599235,70.8,20,3,1085,3.2,"Virgin Islands",53,7.25
54,54,1000,5,10,51,0,2011,"A",NA,"Alabama -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",109964,1449005,58109965111,13113218633,504335917,771,40103,NA,0.98,0.96,0.94,1.01,1,0.98,0.98,NA,-362,-0.3,4933,0.3,1401950762,2.5,31209003,0.2,79666241,18.8,16,2.1,833,2.1,"Alabama",54,7.25
55,55,2000,5,10,51,0,2011,"A",NA,"Alaska -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",19405,243086,11716431641,6748541552,167846499,927,48199,NA,0.93,0.9,0.89,0.99,0.98,0.98,0.98,NA,198,1,5632,2.4,520533219,4.6,235434812,3.6,40995615,32.3,20,2.2,1049,2.2,"Alaska",55,7.75
56,56,4000,5,10,51,0,2011,"A",NA,"Arizona -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",141389,1992727,87860778252,16361022925,362863691,848,44091,NA,1.01,1,1,1.01,0.99,0.99,0.99,NA,-711,-0.5,34299,1.8,3922696834,4.7,493686951,3.1,45171456,14.2,24,2.9,1231,2.9,"Arizona",56,7.35
57,57,5000,5,10,51,0,2011,"A",NA,"Arkansas -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",81010,936501,34463832301,11289862607,387166816,708,36801,NA,0.98,0.98,0.97,1,1,0.99,0.99,NA,193,0.2,7979,0.9,1209649366,3.6,146020123,1.3,45312011,13.3,19,2.8,987,2.8,"Arkansas",57,7.25
58,58,6000,5,10,51,0,2011,"A",NA,"California -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",1343082,12265487,666569236715,101511961236,5395126006,1045,54345,NA,1.01,1.01,1,1.02,1,0.99,0.99,NA,43328,3.3,220873,1.8,33584248322,5.3,5513492043,5.7,764272013,16.5,34,3.4,1792,3.4,"California",58,8
59,59,8000,5,10,51,0,2011,"A",NA,"Colorado -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",166537,1839905,90605707490,20151043422,757205277,947,49245,NA,1.01,0.99,1,0.95,1,1.01,1.01,NA,-1639,-1,37740,2.1,4253804781,4.9,531296984,2.7,319400243,73,26,2.8,1329,2.8,"Colorado",59,7.36
60,60,9000,5,10,51,0,2011,"A",NA,"Connecticut -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",106772,1374773,85278247812,18903698822,754505552,1193,62031,NA,1,1.02,1.04,1.01,1,1.02,1.02,NA,-546,-0.5,21173,1.6,3525653533,4.3,348313392,1.9,105464805,16.2,32,2.8,1635,2.7,"Connecticut",60,8.25
61,61,10000,5,10,51,0,2011,"A",NA,"Delaware -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",27288,342585,17312678593,3546429890,97676818,972,50535,NA,1.01,1.02,1.02,1.01,1,1.01,1.01,NA,-667,-2.4,3980,1.2,859230989,5.2,47197469,1.3,15048417,18.2,38,4.1,1943,4,"Delaware",61,7.25
62,62,11000,5,10,51,0,2011,"A",NA,"District of Columbia","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",35417,461113,34449776737,4338651499,120537727,1437,74710,NA,1.02,0.78,0.72,1.02,1.01,0.92,0.92,NA,1030,3,13175,2.9,1717948123,5.2,116288511,2.8,15607805,14.9,32,2.3,1638,2.2,"District",62,8.25
63,63,12000,5,10,51,0,2011,"A",NA,"Florida -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",586109,6150504,254487215570,50049410350,1712436033,796,41377,NA,1.02,1.02,1,1.02,1,0.98,0.98,NA,740,0.1,105698,1.7,9299422729,3.8,509508933,1,531462750,45,16,2.1,815,2,"Florida",63,7.25
64,64,13000,5,10,51,0,2011,"A",NA,"Georgia -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",256403,3135735,142928121741,30227379280,759438060,877,45580,NA,1,0.99,1,1.01,1,1.02,1.02,NA,-873,-0.3,50963,1.7,6238455298,4.6,763752290,2.6,108958457,16.8,25,2.9,1269,2.9,"Georgia",64,7.25
65,65,15000,5,10,51,0,2011,"A",NA,"Hawaii -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",35945,472242,18813216316,11005962808,291042338,766,39838,NA,0.98,0.95,0.9,1.02,1.01,0.94,0.94,NA,-418,-1.1,7123,1.5,536790706,2.9,67010119,0.6,99263128,51.8,10,1.3,544,1.4,"Hawaii",65,7.25
66,66,16000,5,10,51,0,2011,"A",NA,"Idaho -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",50838,496878,17592646810,10956954933,316519277,681,35406,NA,0.98,0.98,0.98,1.01,1,1,1,NA,-953,-1.8,3963,0.8,532189868,3.1,138400356,1.3,8012066,2.6,15,2.3,795,2.3,"Idaho",66,7.25
67,67,17000,5,10,51,0,2011,"A",NA,"Illinois -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",375982,4765445,242661311437,58030296310,2575051531,979,50921,NA,1.01,1.02,1.03,1.01,1,1.01,1.01,NA,6873,1.9,78962,1.7,10574777368,4.6,2258124311,4,729525488,39.5,27,2.8,1398,2.8,"Illinois",67,8.25
68,68,18000,5,10,51,0,2011,"A",NA,"Indiana -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",153799,2358957,95000364433,22978820121,727424230,774,40272,NA,1,1.02,1.03,1.01,1,1,1.01,NA,1538,1,54189,2.4,4592975887,5.1,5102879324,28.5,197827775,37.4,20,2.7,1046,2.7,"Indiana",68,7.25
